species_id,Species,a,b,c,Vulnerability,Maxlength,Max_length_type,Trophic_level,regions,genus_id,Genus,family_id,Family
0006e6d8-7501-4c2d-9cda-263194f8e58b,rubrioperculatus,0.014454400166869164,2.9700000286102295,1,32.57,63.27000045776367,total length,3.75,"Central Indo-Pacific, Eastern Indo-Pacific, Temperate Australasia, Western Indo-Pacific",457b1ea8-dcec-4f99-8fce-49b0a20269bb,Lethrinus,75247f65-c58f-48b0-8267-bf60184c0719,Lethrinidae
001335da-5d04-4d93-aa62-1ee64f646cfd,maculatus,9.772370103746653e-4,3.2899999618530273,1,60,100,total length,4.260000228881836,Tropical Atlantic,e7154ff7-e922-4d5d-9151-fc3e35ea2e73,Aulostomus,5f58271b-f7a8-4099-8c3a-2261ce7a5cb9,Aulostomidae
001e6ded-97f3-4d6e-a5cd-fa13c2d4d2ba,perezii,0.004786300007253885,3.0899999141693115,1,90,300,total length,4.5,Tropical Atlantic,daeaf890-ff4f-4df2-91f0-41755ecd5b8a,Carcharhinus,68e711c0-39c4-4df2-af11-b719e9849e83,Carcharhinidae
0022d638-0d3e-43bf-ab28-0f0a3029e48c,bigibbus,0.016595900058746338,2.9800000190734863,1,50,75,total length,2.0999999046325684,"Central Indo-Pacific, Eastern Indo-Pacific, Temperate Australasia, Temperate Northern Pacific, Temperate Southern Africa, Tropical Atlantic, Western Indo-Pacific",b9833da2-8072-4a60-8844-11ec6ce7d63d,Kyphosus,0091bb6b-550f-4691-9c66-328a670a3cef,Kyphosidae
0046e6d2-24b2-4ea9-bc4b-d2efd4fa8aad,helsdingenii,0.010232900269329548,3.0199999809265137,1,15,25,total length,3.4000000953674316,"Central Indo-Pacific, Eastern Indo-Pacific, Temperate Australasia, Temperate Northern Atlantic, Temperate Northern Pacific, Temperate Southern Africa, Western Indo-Pacific",0725f462-5114-4923-9e09-41e72a3d6fd3,Valenciennea,67230a45-2ca5-400c-95f9-1a4a4ff376f3,Gobiidae
005003a0-2233-46d2-8214-e8213e80f1dc,petersii,0.03630780056118965,2.880000114440918,1,10,9,total length,3.069999933242798,"Central Indo-Pacific, Eastern Indo-Pacific, Temperate Southern Africa, Western Indo-Pacific",74efa2d7-f678-49cb-8749-f3abfffceac2,Canthigaster,8aed7803-2501-41d1-ae52-d1e032f082c2,Tetraodontidae
0056d935-5eff-4047-9373-862ccb3c3855,kuiteri,0.009772369638085365,3.069999933242798,1,10,10,total length,3.430000066757202,"Central Indo-Pacific, Eastern Indo-Pacific, Temperate Australasia, Western Indo-Pacific",1d9ec682-db3a-4b20-a554-02c284bf2c58,Macropharyngodon,0880aab2-f8ff-49da-a7d2-983ab4233fb4,Labridae
005957fc-8e14-4579-a7be-65e148d2411e,milleri,0.014791100285947323,3,1,10,9.149999618530273,total length,2.759999990463257,"Central Indo-Pacific, Eastern Indo-Pacific, Temperate Australasia, Western Indo-Pacific",7a390c05-7846-47d7-a2f9-dec3d39d67d2,Pomacentrus,5a4c37a4-39f9-44e6-a6e3-8238d93a3651,Pomacentridae
006c5d50-99e7-4ad8-9f7f-536e83faac97,buccanella,0.014791100285947323,2.9700000286102295,1,61.98,75,total length,3.9000000953674316,"Temperate Northern Atlantic, Tropical Atlantic",a152f48f-cf4f-4890-8d56-c9ac943df18e,Lutjanus,ec3bb24c-cd38-4256-a4fa-5056b70d5c72,Lutjanidae
00a55d22-8121-4cd7-8c38-3a2d5316ce77,acicularis,0.019952600821852684,3.009999990463257,1,10,4.760000228881836,total length,3.380000114440918,"Central Indo-Pacific, Eastern Indo-Pacific, Western Indo-Pacific",553f2792-928b-43ea-91d1-611e0aed98a9,Gobiodon,67230a45-2ca5-400c-95f9-1a4a4ff376f3,Gobiidae
